Id,EntryTime,ExitTime,EntryPrice,ExitPrice,EntryQty,ExitQty,QtyAbs,TradePL,GrossPL,Commission,NetPL,PointsPerContract,GrossAmount,NetAmount,AmountExit,PositionAfterExit,BaseStrategy,StrategyRaw,Symbol,EntrySide,ExitSide,ExitReason,Direction,HoldMins,Session
156,,2025-03-31 11:30:00,,,,1.0,1.0,-150.0,-150.0,4.04,-154.04,-30.0,-150.0,-154.04,5.0,0.0,SuperSignal_v7_PreMarket45_43,SuperSignal_v7_PreMarket45_43(BTC Stop),,Buy to Close,Buy to Close,Close,Unknown,,Unknown
158,,2025-04-01 10:30:00,,,,1.0,1.0,167.5,167.5,4.04,163.46,33.5,167.5,163.46,5.0,0.0,SuperSignal_v7_PreMarket45_43,SuperSignal_v7_PreMarket45_43(BTC Target),,Buy to Close,Buy to Close,Close,Unknown,,Unknown
160,,2025-04-02 08:30:00,,,,1.0,1.0,151.25,151.25,4.04,147.21,30.25,151.25,147.21,5.0,0.0,SuperSignal_v7_PreMarket45_43,SuperSignal_v7_PreMarket45_43(BTC Target),,Buy to Close,Buy to Close,Close,Unknown,,Unknown
162,,2025-04-03 15:30:00,,,,1.0,1.0,345.0,345.0,4.04,340.96,69.0,345.0,340.96,5.0,0.0,SuperSignal_v7_PreMarket45_43,SuperSignal_v7_PreMarket45_43(BTC Target),,Buy to Close,Buy to Close,Close,Unknown,,Unknown
164,,2025-04-04 06:30:00,,,,1.0,1.0,276.25,276.25,4.04,272.21,55.25,276.25,272.21,5.0,0.0,SuperSignal_v7_PreMarket45_43,SuperSignal_v7_PreMarket45_43(BTC Target),,Buy to Close,Buy to Close,Close,Unknown,,Unknown
166,,2025-04-04 11:00:00,,,,1.0,1.0,542.5,542.5,4.04,538.46,108.5,542.5,538.46,5.0,0.0,SuperSignal_v7_PreMarket45_43,SuperSignal_v7_PreMarket45_43(BTC Target),,Buy to Close,Buy to Close,Close,Unknown,,Unknown
168,,2025-04-07 10:15:00,,,,-1.0,1.0,1248.75,1248.75,4.04,1244.71,249.75,1248.75,1244.71,-5.0,0.0,SuperSignal_v7_PreMarket45_43,SuperSignal_v7_PreMarket45_43(STC Target),,Sell to Close,Sell to Close,Close,Unknown,,Unknown
170,,2025-04-08 10:15:00,,,,-1.0,1.0,380.0,380.0,4.04,375.96,76.0,380.0,375.96,-5.0,0.0,SuperSignal_v7_PreMarket45_43,SuperSignal_v7_PreMarket45_43(STC Target),,Sell to Close,Sell to Close,Close,Unknown,,Unknown
172,,2025-04-09 10:15:00,,,,1.0,1.0,-835.0,-835.0,4.04,-839.04,-167.0,-835.0,-839.04,5.0,0.0,SuperSignal_v7_PreMarket45_43,SuperSignal_v7_PreMarket45_43(BTC Stop),,Buy to Close,Buy to Close,Close,Unknown,,Unknown
174,,2025-04-11 13:15:00,,,,1.0,1.0,-481.25,-481.25,4.04,-485.29,-96.25,-481.25,-485.29,5.0,0.0,SuperSignal_v7_PreMarket45_43,SuperSignal_v7_PreMarket45_43(BTC Stop),,Buy to Close,Buy to Close,Close,Unknown,,Unknown
176,,2025-04-14 11:45:00,,,,-1.0,1.0,-256.25,-256.25,4.04,-260.29,-51.25,-256.25,-260.29,-5.0,0.0,SuperSignal_v7_PreMarket45_43,SuperSignal_v7_PreMarket45_43(STC Stop),,Sell to Close,Sell to Close,Close,Unknown,,Unknown
178,,2025-04-15 09:45:00,,,,1.0,1.0,-222.5,-222.5,4.04,-226.54,-44.5,-222.5,-226.54,5.0,0.0,SuperSignal_v7_PreMarket45_43,SuperSignal_v7_PreMarket45_43(BTC Stop),,Buy to Close,Buy to Close,Close,Unknown,,Unknown
180,,2025-04-16 04:30:00,,,,1.0,1.0,-171.25,-171.25,4.04,-175.29,-34.25,-171.25,-175.29,5.0,0.0,SuperSignal_v7_PreMarket45_43,SuperSignal_v7_PreMarket45_43(BTC Stop),,Buy to Close,Buy to Close,Close,Unknown,,Unknown
182,,2025-04-16 10:15:00,,,,-1.0,1.0,-196.25,-196.25,4.04,-200.29,-39.25,-196.25,-200.29,-5.0,0.0,SuperSignal_v7_PreMarket45_43,SuperSignal_v7_PreMarket45_43(STC Stop),,Sell to Close,Sell to Close,Close,Unknown,,Unknown
184,,2025-04-20 18:00:00,,,,1.0,1.0,52.5,52.5,4.04,48.46,10.5,52.5,48.46,5.0,0.0,SuperSignal_v7_PreMarket45_43,SuperSignal_v7_PreMarket45_43(BTC Daily),,Buy to Close,Buy to Close,Close,Unknown,,Unknown
186,,2025-04-21 10:00:00,,,,1.0,1.0,117.5,117.5,4.04,113.46,23.5,117.5,113.46,5.0,0.0,SuperSignal_v7_PreMarket45_43,SuperSignal_v7_PreMarket45_43(BTC Target),,Buy to Close,Buy to Close,Close,Unknown,,Unknown
