Id,EntryTime,ExitTime,EntryPrice,ExitPrice,Qty,TradePL,BaseStrategy,EntrySide,ExitSide,ExitReason,HoldMins,Commission,NetPL,GrossPL,Direction,Session
276,,2025-06-26 12:15:00,,,-1.0,82.5,SuperSignal_v7_PreMarket45_43,Sell to Close,Sell to Close,Close,,4.04,78.46,82.5,Unknown,Unknown
278,,2025-06-27 09:15:00,,,-1.0,-60.0,SuperSignal_v7_PreMarket45_43,Sell to Close,Sell to Close,Close,,4.04,-64.04,-60.0,Unknown,Unknown
280,,2025-06-30 09:00:00,,,-1.0,-45.0,SuperSignal_v7_PreMarket45_43,Sell to Close,Sell to Close,Close,,4.04,-49.04,-45.0,Unknown,Unknown
282,,2025-07-01 10:15:00,,,1.0,-73.75,SuperSignal_v7_PreMarket45_43,Buy to Close,Buy to Close,Close,,4.04,-77.79,-73.75,Unknown,Unknown
284,,2025-07-02 08:30:00,,,1.0,55.0,SuperSignal_v7_PreMarket45_43,Buy to Close,Buy to Close,Close,,4.04,50.96,55.0,Unknown,Unknown
286,,2025-07-03 08:45:00,,,1.0,-61.25,SuperSignal_v7_PreMarket45_43,Buy to Close,Buy to Close,Close,,4.04,-65.29,-61.25,Unknown,Unknown
288,,2025-07-03 10:15:00,,,-1.0,136.25,SuperSignal_v7_PreMarket45_43,Sell to Close,Sell to Close,Close,,4.04,132.21,136.25,Unknown,Unknown
290,,2025-07-06 18:15:00,,,1.0,-43.75,SuperSignal_v7_PreMarket45_43,Buy to Close,Buy to Close,Close,,4.04,-47.79,-43.75,Unknown,Unknown
292,,2025-07-07 10:30:00,,,-1.0,-62.5,SuperSignal_v7_PreMarket45_43,Sell to Close,Sell to Close,Close,,4.04,-66.54,-62.5,Unknown,Unknown
294,,2025-07-09 09:30:00,,,-1.0,91.25,SuperSignal_v7_PreMarket45_43,Sell to Close,Sell to Close,Close,,4.04,87.21,91.25,Unknown,Unknown
296,,2025-07-10 08:00:00,,,-1.0,55.0,SuperSignal_v7_PreMarket45_43,Sell to Close,Sell to Close,Close,,4.04,50.96,55.0,Unknown,Unknown
298,,2025-07-10 13:15:00,,,-1.0,96.25,SuperSignal_v7_PreMarket45_43,Sell to Close,Sell to Close,Close,,4.04,92.21,96.25,Unknown,Unknown
300,,2025-07-11 10:30:00,,,1.0,-92.5,SuperSignal_v7_PreMarket45_43,Buy to Close,Buy to Close,Close,,4.04,-96.54,-92.5,Unknown,Unknown
302,,2025-07-14 09:30:00,,,-1.0,82.5,SuperSignal_v7_PreMarket45_43,Sell to Close,Sell to Close,Close,,4.04,78.46,82.5,Unknown,Unknown
304,,2025-07-15 08:30:00,,,-1.0,-55.0,SuperSignal_v7_PreMarket45_43,Sell to Close,Sell to Close,Close,,4.04,-59.04,-55.0,Unknown,Unknown
306,,2025-07-15 11:00:00,,,-1.0,-141.25,SuperSignal_v7_PreMarket45_43,Sell to Close,Sell to Close,Close,,4.04,-145.29,-141.25,Unknown,Unknown
308,,2025-07-16 08:45:00,,,-1.0,58.75,SuperSignal_v7_PreMarket45_43,Sell to Close,Sell to Close,Close,,4.04,54.71,58.75,Unknown,Unknown
