Id,EntryTime,ExitTime,EntryPrice,ExitPrice,EntryQty,ExitQty,QtyAbs,TradePL,GrossPL,Commission,NetPL,PointsPerContract,GrossAmount,NetAmount,AmountExit,PositionAfterExit,BaseStrategy,StrategyRaw,Symbol,EntrySide,ExitSide,ExitReason,Direction,HoldMins,Session
820,,2025-05-12 08:45:00,,,,1.0,1.0,-141.25,-141.25,4.04,-145.29,-28.25,-141.25,-145.29,5.0,0.0,EMA_Inversion_33,EMA_Inversion_33(STC 1(57.50)),,Buy to Close,Buy to Close,Close,Unknown,,Unknown
822,,2025-05-13 06:00:00,,,,-1.0,1.0,-1.25,-1.25,4.04,-5.29,-0.25,-1.25,-5.29,-5.0,0.0,EMA_Inversion_33,EMA_Inversion_33(STO -1),,Sell to Close,Sell to Close,Close,Unknown,,Unknown
824,,2025-05-13 09:30:00,,,,1.0,1.0,-98.75,-98.75,4.04,-102.79,-19.75,-98.75,-102.79,5.0,0.0,EMA_Inversion_33,EMA_Inversion_33(STC 1(0.00)),,Buy to Close,Buy to Close,Close,Unknown,,Unknown
826,,2025-05-14 03:15:00,,,,-1.0,1.0,233.75,233.75,4.04,229.71,46.75,233.75,229.71,-5.0,0.0,EMA_Inversion_33,EMA_Inversion_33(STO -1),,Sell to Close,Sell to Close,Close,Unknown,,Unknown
828,,2025-05-14 03:30:00,,,,1.0,1.0,58.75,58.75,4.04,54.71,11.75,58.75,54.71,5.0,0.0,EMA_Inversion_33,EMA_Inversion_33(STC 1(58.75)),,Buy to Close,Buy to Close,Close,Unknown,,Unknown
830,,2025-05-14 04:00:00,,,,-1.0,1.0,25.0,25.0,4.04,20.96,5.0,25.0,20.96,-5.0,0.0,EMA_Inversion_33,EMA_Inversion_33(STO -1),,Sell to Close,Sell to Close,Close,Unknown,,Unknown
832,,2025-05-14 05:00:00,,,,1.0,1.0,21.25,21.25,4.04,17.21,4.25,21.25,17.21,5.0,0.0,EMA_Inversion_33,EMA_Inversion_33(BTO 1),,Buy to Close,Buy to Close,Close,Unknown,,Unknown
834,,2025-05-14 07:15:00,,,,-1.0,1.0,37.5,37.5,4.04,33.46,7.5,37.5,33.46,-5.0,0.0,EMA_Inversion_33,EMA_Inversion_33(STC -1(77.50)),,Sell to Close,Sell to Close,Close,Unknown,,Unknown
836,,2025-05-15 03:15:00,,,,1.0,1.0,145.0,145.0,4.04,140.96,29.0,145.0,140.96,5.0,0.0,EMA_Inversion_33,EMA_Inversion_33(BTO 1),,Buy to Close,Buy to Close,Close,Unknown,,Unknown
838,,2025-05-15 06:00:00,,,,-1.0,1.0,-11.25,-11.25,4.04,-15.29,-2.25,-11.25,-15.29,-5.0,0.0,EMA_Inversion_33,EMA_Inversion_33(STC -1(63.75)),,Sell to Close,Sell to Close,Close,Unknown,,Unknown
840,,2025-05-15 06:45:00,,,,1.0,1.0,21.25,21.25,4.04,17.21,4.25,21.25,17.21,5.0,0.0,EMA_Inversion_33,EMA_Inversion_33(BTO 1),,Buy to Close,Buy to Close,Close,Unknown,,Unknown
842,,2025-05-15 08:00:00,,,,-1.0,1.0,35.0,35.0,4.04,30.96,7.0,35.0,30.96,-5.0,0.0,EMA_Inversion_33,EMA_Inversion_33(STO -1),,Sell to Close,Sell to Close,Close,Unknown,,Unknown
844,,2025-05-15 09:30:00,,,,1.0,1.0,-22.5,-22.5,4.04,-26.54,-4.5,-22.5,-26.54,5.0,0.0,EMA_Inversion_33,EMA_Inversion_33(STC 1(0.00)),,Buy to Close,Buy to Close,Close,Unknown,,Unknown
846,,2025-05-16 03:30:00,,,,-1.0,1.0,243.75,243.75,4.04,239.71,48.75,243.75,239.71,-5.0,0.0,EMA_Inversion_33,EMA_Inversion_33(STO -1),,Sell to Close,Sell to Close,Close,Unknown,,Unknown
848,,2025-05-16 09:00:00,,,,1.0,1.0,-37.5,-37.5,4.04,-41.54,-7.5,-37.5,-41.54,5.0,0.0,EMA_Inversion_33,EMA_Inversion_33(STC 1(60.00)),,Buy to Close,Buy to Close,Close,Unknown,,Unknown
850,,2025-05-19 05:30:00,,,,-1.0,1.0,-200.0,-200.0,4.04,-204.04,-40.0,-200.0,-204.04,-5.0,0.0,EMA_Inversion_33,EMA_Inversion_33(STC -1(50.00)),,Sell to Close,Sell to Close,Close,Unknown,,Unknown
852,,2025-05-19 06:15:00,,,,1.0,1.0,33.75,33.75,4.04,29.71,6.75,33.75,29.71,5.0,0.0,EMA_Inversion_33,EMA_Inversion_33(BTO 1),,Buy to Close,Buy to Close,Close,Unknown,,Unknown
